,localidade,municipio,estado,data_avistamento,municipio_estado
65,Ponta da Ilha Verde,Nísia Floresta,RN,2019-09-12,Nísia Floresta/RN
66,Muriú,Maxaranguape,RN,2019-09-12,Maxaranguape/RN
67,Foz do Rio Catu,Tibau Do Sul,RN,2019-09-12,Tibau Do Sul/RN
68,Ponta Negra,Natal,RN,2019-09-14,Natal/RN
69,Cabo de São Roque,Maxaranguape,RN,2019-09-14,Maxaranguape/RN
70,Praia de Touros,Touros,RN,2019-09-14,Touros/RN
71,Praia do Calcanhar,Touros,RN,2019-09-14,Touros/RN
72,Praia de Caraúbas,Maxaranguape,RN,2019-09-15,Maxaranguape/RN
73,Pajuçara/Ponta Verde,Maceió,AL,2019-09-15,Maceió/AL
74,Ilha dos Poldros,Araioses,MA,2019-09-16,Araioses/MA
75,Ponta de Maracajaú,Maxaranguape,RN,2019-09-17,Maxaranguape/RN
76,Praia do Forte,Natal,RN,2019-09-17,Natal/RN
77,Praia de Areia Preta,Natal,RN,2019-09-17,Natal/RN
78,Ipioca,Maceió,AL,2019-09-17,Maceió/AL
79,Praia do Francês,Marechal Deodoro,AL,2019-09-18,Marechal Deodoro/AL
80,Praia do Carro Quebrado,Passo De Camaragibe,AL,2019-09-18,Passo De Camaragibe/AL
81,Barra de São Miguel,Barra De São Miguel,AL,2019-09-19,Barra De São Miguel/AL
82,Redinha,Natal,RN,2019-09-20,Natal/RN
83,Ilha dos Poldros,Araioses,MA,2019-09-20,Araioses/MA
84,Barra do Rio,Extremoz,RN,2019-09-20,Extremoz/RN
85,Praia de Santa Rita,Extremoz,RN,2019-09-20,Extremoz/RN
86,Jenipabu,Extremoz,RN,2019-09-20,Extremoz/RN
87,Atins,Barreirinhas,MA,2019-09-20,Barreirinhas/MA
88,Lot. Encontro do Mar,Barra De São Miguel,AL,2019-09-21,Barra De São Miguel/AL
89,Praia do Barro Vermelho,Paulino Neves,MA,2019-09-21,Paulino Neves/MA
90,Barra de Santo Antônio,Barra De Santo Antônio,AL,2019-09-22,Barra De Santo Antônio/AL
91,Falésias do Gunga,Roteiro,AL,2019-09-22,Roteiro/AL
92,Praia do Gunga,Barra De São Miguel,AL,2019-09-22,Barra De São Miguel/AL
93,Praia de Itatinga,Alcântara,MA,2019-09-22,Alcântara/MA
94,Praia Canto do Atins,Barreirinhas,MA,2019-09-22,Barreirinhas/MA
95,Paripueira,Paripueira,AL,2019-09-22,Paripueira/AL
96,Praia de Taíba,São Gonçalo Do Amarante,CE,2019-09-23,São Gonçalo Do Amarante/CE
97,Paracuru,Paracuru,CE,2019-09-23,Paracuru/CE
98,Praia de Alagamar,Natal,RN,2019-09-24,Natal/RN
99,Praia de Ponta dos Mangues,Pacatuba,SE,2019-09-24,Pacatuba/SE
100,Praia de Jatobá,Barra Dos Coqueiros,SE,2019-09-24,Barra Dos Coqueiros/SE
101,Barra dos Coqueiros,Barra Dos Coqueiros,SE,2019-09-24,Barra Dos Coqueiros/SE
102,Praia do Pirambu,Pirambu,SE,2019-09-24,Pirambu/SE
103,Santo Amaro do Maranhão,Santo Amaro Do Maranhão,MA,2019-09-25,Santo Amaro Do Maranhão/MA
104,Ilha do Livramento,Alcântara,MA,2019-09-25,Alcântara/MA
105,Praia da Mamuna,Alcântara,MA,2019-09-25,Alcântara/MA
106,Travosa,Santo Amaro Do Maranhão,MA,2019-09-25,Santo Amaro Do Maranhão/MA
107,São José da Coroa Grande,São José Da Coroa Grande,PE,2019-09-25,São José Da Coroa Grande/PE
108,Malhada,Jijoca De Jericoacoara,CE,2019-09-26,Jijoca De Jericoacoara/CE
109,Av. Litorânea,São Luís,MA,2019-09-26,São Luís/MA
110,Praia de Sabiaguaba,Fortaleza,CE,2019-09-26,Fortaleza/CE
111,Pontal do Coruripe,Coruripe,AL,2019-09-27,Coruripe/AL
112,Praia do Arrombado,Luís Correia,PI,2019-09-27,Luís Correia/PI
113,Lagoa do Pau,Coruripe,AL,2019-09-27,Coruripe/AL
114,Pontal de Maceió,Fortim,CE,2019-09-28,Fortim/CE
115,Praia Peito de Moça,Luís Correia,PI,2019-09-30,Luís Correia/PI
116,Praia do Coqueiro,Luís Correia,PI,2019-09-30,Luís Correia/PI
117,Luís Correia,Luís Correia,PI,2019-09-30,Luís Correia/PI
118,Atalaia,Luís Correia,PI,2019-09-30,Luís Correia/PI
119,Praia do Amor,Conde,PB,2019-09-30,Conde/PB
120,Pedra do Sal,Parnaíba,PI,2019-09-30,Parnaíba/PI
121,Piaçabuçu,Piaçabuçu,AL,2019-10-01,Piaçabuçu/AL
122,Santo Antônio,Mata De São João,BA,2019-10-01,Mata De São João/BA
123,Lagoinha,Paraipaba,CE,2019-10-01,Paraipaba/CE
124,Atalaia,Aracaju,SE,2019-10-02,Aracaju/SE
125,Caueira,Itaporanga D'Ajuda,SE,2019-10-03,Itaporanga D'Ajuda/SE
126,Sítio do Conde,Conde,BA,2019-10-04,Conde/BA
127,Jandaíra,Jandaíra,BA,2019-10-04,Jandaíra/BA
128,Mangue Seco,Jandaíra,BA,2019-10-04,Jandaíra/BA
129,Itariri,Conde,BA,2019-10-05,Conde/BA
130,Conde,Jandaíra,BA,2019-10-05,Jandaíra/BA
131,Praia do Pontal do Peba (norte),Piaçabuçu,AL,2019-10-05,Piaçabuçu/AL
132,Praia do Futuro,Fortaleza,CE,2019-10-06,Fortaleza/CE
133,Foz do Rio Subauma,Entre Rios,BA,2019-10-07,Entre Rios/BA
134,Mamucabo,Esplanada,BA,2019-10-07,Esplanada/BA
135,Baixio,Esplanada,BA,2019-10-07,Esplanada/BA
136,Foz do Rio Inhampube,Esplanada,BA,2019-10-07,Esplanada/BA
137,Praia do Forte,Mata De São João,BA,2019-10-08,Mata De São João/BA
138,Porto de Sauípe,Entre Rios,BA,2019-10-09,Entre Rios/BA
139,Praia de Itacimirim,Camaçari,BA,2019-10-09,Camaçari/BA
140,Guarajuba,Camaçari,BA,2019-10-09,Camaçari/BA
141,Foz do Rio São Francisco,Brejo Grande,SE,2019-10-09,Brejo Grande/SE
142,Foz do Rio São Francisco,Piaçabuçu,AL,2019-10-09,Piaçabuçu/AL
143,Arembepe,Camaçari,BA,2019-10-10,Camaçari/BA
144,Imbassaí,Mata De São João,BA,2019-10-10,Mata De São João/BA
145,Ilha Caçacueira,Cururupu,MA,2019-10-10,Cururupu/MA
146,Praia de Massarandupio,Entre Rios,BA,2019-10-11,Entre Rios/BA
147,Praia dos Artistas,Salvador,BA,2019-10-11,Salvador/BA
148,Praia do Corsário,Salvador,BA,2019-10-11,Salvador/BA
149,Praia Vilas do Atlântico,Lauro De Freitas,BA,2019-10-11,Lauro De Freitas/BA
150,Mangue,Itaporanga D'Ajuda,SE,2019-10-12,Itaporanga D'Ajuda/SE
151,Coruripe,Coruripe,AL,2019-10-12,Coruripe/AL
152,Ponte Gilberto Amado,Estância,SE,2019-10-12,Estância/SE
153,Barra do Rio Santo Antônio,Barra De Santo Antônio,AL,2019-10-13,Barra De Santo Antônio/AL
154,Ilha da Croa,Barra De Santo Antônio,AL,2019-10-13,Barra De Santo Antônio/AL
155,Barra do Santo Antônio,Barra De Santo Antônio,AL,2019-10-13,Barra De Santo Antônio/AL
156,Rio Pojuca,Camaçari,BA,2019-10-13,Camaçari/BA
157,Ponta da Barra,Marechal Deodoro,AL,2019-10-13,Marechal Deodoro/AL
158,Barreira do Boqueirão,Japaratinga,AL,2019-10-14,Japaratinga/AL
159,Costa Azul,Jandaíra,BA,2019-10-14,Jandaíra/BA
160,Caponga,Cascavel,CE,2019-10-14,Cascavel/CE
161,Quixaba,Aracati,CE,2019-10-14,Aracati/CE
162,Praia de Aruanã,Aracaju,SE,2019-10-15,Aracaju/SE
163,Praia do Reduto,Tamandaré,PE,2019-10-15,Tamandaré/PE
164,Praia do Antunes,Maragogi,AL,2019-10-16,Maragogi/AL
165,Jardim de Alah,Salvador,BA,2019-10-16,Salvador/BA
166,Praia Jardim dos Namorados,Salvador,BA,2019-10-16,Salvador/BA
167,Pedra do Sal,Salvador,BA,2019-10-16,Salvador/BA
168,Pituba,Salvador,BA,2019-10-16,Salvador/BA
169,Praia de Japaratinga,Japaratinga,AL,2019-10-16,Japaratinga/AL
170,Praia de Coroa do Meio,Aracaju,SE,2019-10-16,Aracaju/SE
171,Mosqueiro,Aracaju,SE,2019-10-16,Aracaju/SE
172,Barra Grande (norte),Maragogi,AL,2019-10-16,Maragogi/AL
173,Ponta do Mangue,Maragogi,AL,2019-10-16,Maragogi/AL
174,Barra Grande (sul),Maragogi,AL,2019-10-17,Maragogi/AL
175,Amaralina,Salvador,BA,2019-10-17,Salvador/BA
176,Praia da Paciência,Salvador,BA,2019-10-17,Salvador/BA
177,Rio Vermelho,Salvador,BA,2019-10-17,Salvador/BA
178,Praia de Jaburu,Vera Cruz,BA,2019-10-17,Vera Cruz/BA
179,Barra Grande,Igrapiúna,BA,2019-10-18,Igrapiúna/BA
180,Ponta da Gameleira,Sirinhaém,PE,2019-10-18,Sirinhaém/PE
181,Praia da Peroba,Maragogi,AL,2019-10-18,Maragogi/AL
182,Ponta das Ilhotas,Barreiros,PE,2019-10-18,Barreiros/PE
183,Praia de Jauá,Camaçari,BA,2019-10-18,Camaçari/BA
184,Bom Despacho,Salvador,BA,2019-10-18,Salvador/BA
185,Caixa Prego,Vera Cruz,BA,2019-10-18,Vera Cruz/BA
186,Ilha de Santo Aleixo,Sirinhaém,PE,2019-10-19,Sirinhaém/PE
187,Itacaré,Itacaré,BA,2019-10-19,Itacaré/BA
188,Ondina,Salvador,BA,2019-10-19,Salvador/BA
189,Praia de Barra Grande,Vera Cruz,BA,2019-10-19,Vera Cruz/BA
190,Praia de Poças,Conde,BA,2019-10-20,Conde/BA
191,Costa do Sauípe,Mata De São João,BA,2019-10-20,Mata De São João/BA
192,Barra dos Coqueiros,Maragogi,AL,2019-10-20,Maragogi/AL
193,Taipu de Fora,Maraú,BA,2019-10-20,Maraú/BA
194,Praia de Siriba,Ilhéus,BA,2019-10-20,Ilhéus/BA
195,Praia de Flexeiras,Feliz Deserto,AL,2019-10-21,Feliz Deserto/AL
196,Praia do Japonês,Camaçari,BA,2019-10-21,Camaçari/BA
197,Praia Bonita,Barra De São Miguel,AL,2019-10-21,Barra De São Miguel/AL
198,Rio Salgado,Maragogi,AL,2019-10-21,Maragogi/AL
199,Praia de Barreiras,Icapuí,CE,2019-10-21,Icapuí/CE
200,Praia de Ipitanga,Salvador,BA,2019-10-21,Salvador/BA
201,Praia do Morro de Camaragibe,Passo De Camaragibe,AL,2019-10-21,Passo De Camaragibe/AL
202,Praia de Barra de Maxaranguape,Maxaranguape,RN,2019-10-21,Maxaranguape/RN
203,Foz do Rio Manguba,Japaratinga,AL,2019-10-21,Japaratinga/AL
204,Praia de Bitupitá,Barroquinha,CE,2019-10-21,Barroquinha/CE
205,Praia de Jairí,Ilhéus,BA,2019-10-21,Ilhéus/BA
206,Praia Carnaubinhas,Touros,RN,2019-10-21,Touros/RN
207,Praia de Burgalhau,Maragogi,AL,2019-10-21,Maragogi/AL
208,Praia dos Milionários,Ilhéus,BA,2019-10-21,Ilhéus/BA
209,Centro,Maragogi,AL,2019-10-21,Maragogi/AL
210,Garapuá,Cairu,BA,2019-10-22,Cairu/BA
211,Barra do Jacuípe,Camaçari,BA,2019-10-22,Camaçari/BA
212,Lagoa Azeda,Jequiá Da Praia,AL,2019-10-22,Jequiá Da Praia/AL
213,Acuípe,Ilhéus,BA,2019-10-22,Ilhéus/BA
214,Praia de Pitangui,Extremoz,RN,2019-10-22,Extremoz/RN
215,Foz do rio Tatuamunha,Porto De Pedras,AL,2019-10-22,Porto De Pedras/AL
216,Canoa Quebrada,Aracati,CE,2019-10-23,Aracati/CE
217,Praia de Tabatinga,Conde,PB,2019-10-23,Conde/PB
218,Praia de Rendinha Nova,Extremoz,RN,2019-10-23,Extremoz/RN
219,Praia do Camacho,Maragogi,AL,2019-10-23,Maragogi/AL
220,Praia de Saquaíra,Maraú,BA,2019-10-24,Maraú/BA
221,Praia do Garcez,Jaguaripe,BA,2019-10-24,Jaguaripe/BA
222,Praia da Enseada dos Corais,Cabo De Santo Agostinho,PE,2019-10-24,Cabo De Santo Agostinho/PE
223,Praia de Jaguaribe,Ilha De Itamaracá,PE,2019-10-24,Ilha De Itamaracá/PE
224,Praia da Armação,Salvador,BA,2019-10-24,Salvador/BA
225,Barra da Jangada,Jaboatão Dos Guararapes,PE,2019-10-24,Jaboatão Dos Guararapes/PE
226,Praia de Guaibim,Valença,BA,2019-10-24,Valença/BA
227,Praia de Cacimbinhas,Tibau Do Sul,RN,2019-10-24,Tibau Do Sul/RN
228,Praia de Busca Vida,Camaçari,BA,2019-10-24,Camaçari/BA
229,Praia de Gaibu,Cabo De Santo Agostinho,PE,2019-10-24,Cabo De Santo Agostinho/PE
230,Praia de Itapuama,Cabo De Santo Agostinho,PE,2019-10-24,Cabo De Santo Agostinho/PE
231,Praia do Gado Bravo,Tibau,RN,2019-10-25,Tibau/RN
232,Barra dos Carvalhos,Nilo Peçanha,BA,2019-10-25,Nilo Peçanha/BA
233,Praia de Bainema,Cairu,BA,2019-10-25,Cairu/BA
234,Praia de Guaxuma,Maceió,AL,2019-10-25,Maceió/AL
235,Pontal do Jaguaribe,Ilha De Itamaracá,PE,2019-10-25,Ilha De Itamaracá/PE
236,Praia de Quatro Cantos,Ilha De Itamaracá,PE,2019-10-25,Ilha De Itamaracá/PE
237,Praia da Barra Nova,Cascavel,CE,2019-10-25,Cascavel/CE
238,Praia de Muro Alto,Ipojuca,PE,2019-10-25,Ipojuca/PE
239,Praia da Barra de Sirinhaém,Sirinhaém,PE,2019-10-25,Sirinhaém/PE
240,Sirinhaém,Ituberá,BA,2019-10-26,Ituberá/BA
241,Praia de São Miguel,Ilhéus,BA,2019-10-26,Ilhéus/BA
242,Praia do Marceneiro,Passo De Camaragibe,AL,2019-10-26,Passo De Camaragibe/AL
243,Cumbe,Aracati,CE,2019-10-26,Aracati/CE
244,Praia do Pontal,Cairu,BA,2019-10-27,Cairu/BA
245,Nossa Senhora do Ó,Paulista,PE,2019-10-27,Paulista/PE
246,Praia do Pontal,Baía Formosa,RN,2019-10-27,Baía Formosa/RN
247,Praia de Cururupe,Ilhéus,BA,2019-10-27,Ilhéus/BA
248,Praia de Porto Mirim,Ceará-Mirim,RN,2019-10-27,Ceará-Mirim/RN
249,Praia Engenhoca,Itacaré,BA,2019-10-28,Itacaré/BA
250,Praia de Cueira,Cairu,BA,2019-10-28,Cairu/BA
251,Praia de Bitingui,Japaratinga,AL,2019-10-28,Japaratinga/AL
252,Praia do Pontal do Boqueirão,Japaratinga,AL,2019-10-28,Japaratinga/AL
253,Praia Pé de Serra,Ilhéus,BA,2019-10-28,Ilhéus/BA
254,Várzea do Una,Barreiros,PE,2019-10-28,Barreiros/PE
255,Praia do Sossego,Ilha De Itamaracá,PE,2019-10-28,Ilha De Itamaracá/PE
256,Praia do Pontal de Maracaípe,Ipojuca,PE,2019-10-28,Ipojuca/PE
257,Praia de Graçandu,Extremoz,RN,2019-10-28,Extremoz/RN
258,Praia do Madeiro,Tibau Do Sul,RN,2019-10-28,Tibau Do Sul/RN
259,Praia de Ponta da Tulha,Ilhéus,BA,2019-10-28,Ilhéus/BA
260,Praia do Sul,Ilhéus,BA,2019-10-28,Ilhéus/BA
261,Praia de Moreré,Cairu,BA,2019-10-28,Cairu/BA
262,Praia de Siribinha,Conde,BA,2019-10-29,Conde/BA
263,Rio Persinunga,Maragogi,AL,2019-10-29,Maragogi/AL
264,Praia do Cupe,Ipojuca,PE,2019-10-29,Ipojuca/PE
265,Mangue da Foz do Rio Coruripe,Coruripe,AL,2019-10-29,Coruripe/AL
266,Praia dos Náufragos,Aracaju,SE,2019-10-29,Aracaju/SE
267,Praia dos Artistas,Aracaju,SE,2019-10-29,Aracaju/SE
268,Praia da Ponta do Ramo,Ilhéus,BA,2019-10-29,Ilhéus/BA
269,Praia da Avenida,Ilhéus,BA,2019-10-29,Ilhéus/BA
270,Praia do Porto,Barreiros,PE,2019-10-29,Barreiros/PE
271,Ponta do Contrato,Ituberá,BA,2019-10-29,Ituberá/BA
272,Praia de Porto da Rua,São Miguel Dos Milagres,AL,2019-10-29,São Miguel Dos Milagres/AL
273,Praia de Barra Velha,Belmonte,BA,2019-10-29,Belmonte/BA
274,Arandi-Algodões,Maraú,BA,2019-10-29,Maraú/BA
275,Praia do Pontal,Parnaíba,PI,2019-10-29,Parnaíba/PI
276,Praia da Ribeira,Itacaré,BA,2019-10-30,Itacaré/BA
277,Ilha de Comandatuba (Barra Norte e Barra Sul),Una,BA,2019-10-30,Una/BA
278,Lagoa Guaraíras,Tibau Do Sul,RN,2019-10-30,Tibau Do Sul/RN
279,Praia de Itapororoca,Porto Seguro,BA,2019-10-31,Porto Seguro/BA
280,Praia de Mucugê,Porto Seguro,BA,2019-10-31,Porto Seguro/BA
281,Trancoso Itapororó,Porto Seguro,BA,2019-10-31,Porto Seguro/BA
282,Ilha do Francês/Suape,Ipojuca,PE,2019-10-31,Ipojuca/PE
283,Praia de Piracanga,Maraú,BA,2019-10-31,Maraú/BA
284,Praia Jóia do Atlântico,Ilhéus,BA,2019-10-31,Ilhéus/BA
285,Ponta da Folha,Maraú,BA,2019-10-31,Maraú/BA
286,Praia da Ponta dos Castelhanos,Cairu,BA,2019-10-31,Cairu/BA
287,Praia de Arakakaí,Santa Cruz Cabrália,BA,2019-10-31,Santa Cruz Cabrália/BA
288,Panelas,Maraú,BA,2019-10-31,Maraú/BA
289,Praia Jóia do Atlântico,Ilhéus,BA,2019-10-31,Ilhéus/BA
290,Praia de Maragogi,Maragogi,AL,2019-11-01,Maragogi/AL
291,Praia do Pontal,Itacaré,BA,2019-11-01,Itacaré/BA
292,Praia do Casssange,Maraú,BA,2019-11-01,Maraú/BA
293,Araripe,Santa Cruz Cabrália,BA,2019-11-01,Santa Cruz Cabrália/BA
294,Praia de Corumbau,Prado,BA,2019-11-01,Prado/BA
295,Praia da Boca da Barra,Tamandaré,PE,2019-11-01,Tamandaré/PE
296,Ilha Quiepe,Igrapiúna,BA,2019-11-01,Igrapiúna/BA
297,Praia da Coroinha,Itacaré,BA,2019-11-01,Itacaré/BA
298,Praia de Quitérias,Icapuí,CE,2019-11-01,Icapuí/CE
299,Praia da Ponta da Baleia,Caravelas,BA,2019-11-01,Caravelas/BA
300,Praia de Stella Maris,Salvador,BA,2019-11-01,Salvador/BA
301,Praia de Guaiu,Belmonte,BA,2019-11-01,Belmonte/BA
302,Praia de Malembá,Senador Georgino Avelino,RN,2019-11-01,Senador Georgino Avelino/RN
303,Manguezal do rio Maragogi,Maragogi,AL,2019-11-01,Maragogi/AL
304,Praia de Lages,Porto De Pedras,AL,2019-11-01,Porto De Pedras/AL
305,Praia de Itaquena,Porto Seguro,BA,2019-11-02,Porto Seguro/BA
306,Praia do Taipe (Praia do Rio da Barra),Porto Seguro,BA,2019-11-02,Porto Seguro/BA
307,Praia do Saco (2),Estância,SE,2019-11-02,Estância/SE
308,Moreré,Cairu,BA,2019-11-02,Cairu/BA
309,Ilha de Santa Bárbara,Caravelas,BA,2019-11-02,Caravelas/BA
310,Praia Berlinque,Vera Cruz,BA,2019-11-02,Vera Cruz/BA
311,Praia do Mar Moreno,Belmonte,BA,2019-11-02,Belmonte/BA
312,Praia de Alcobaça (Praia do Centro),Alcobaça,BA,2019-11-02,Alcobaça/BA
313,Praia do Porto,Barra Dos Coqueiros,SE,2019-11-03,Barra Dos Coqueiros/SE
314,Quarta Praia,Cairu,BA,2019-11-03,Cairu/BA
315,Praia da Costa,Barra Dos Coqueiros,SE,2019-11-03,Barra Dos Coqueiros/SE
316,Praia de Japaratinga,Japaratinga,AL,2019-11-03,Japaratinga/AL
317,Praia do Grauçá,Caravelas,BA,2019-11-03,Caravelas/BA
318,Costa do atlantico,Nova Viçosa,BA,2019-11-03,Nova Viçosa/BA
319,Tecarmo,Aracaju,SE,2019-11-03,Aracaju/SE
320,Praia do quartel,Ilhéus,BA,2019-11-03,Ilhéus/BA
321,Praia do Pontal da Barra,Nova Viçosa,BA,2019-11-03,Nova Viçosa/BA
322,Praia de Lençóis,Ilhéus,BA,2019-11-03,Ilhéus/BA
323,São Domingos,Ilhéus,BA,2019-11-03,Ilhéus/BA
324,Praia de Peroba,Maragogi,AL,2019-11-03,Maragogi/AL
325,Praia de Barreta,Nísia Floresta,RN,2019-11-03,Nísia Floresta/RN
326,Praia de Taperapuã,Porto Seguro,BA,2019-11-04,Porto Seguro/BA
327,Ilha Redonda (abrolhos),Caravelas,BA,2019-11-04,Caravelas/BA
328,Praia Caueira,Itaporanga D'Ajuda,SE,2019-11-04,Itaporanga D'Ajuda/SE
329,Praia de Aibim,Maraú,BA,2019-11-04,Maraú/BA
330,Dunas (norte),Estância,SE,2019-11-04,Estância/SE
331,Praia de Mogiquiçaba,Belmonte,BA,2019-11-04,Belmonte/BA
332,Praia de Guaratiba,Prado,BA,2019-11-04,Prado/BA
333,Praia de Mamoã,Ilhéus,BA,2019-11-04,Ilhéus/BA
334,Praia de Pontal do Peba (sul),Piaçabuçu,AL,2019-11-04,Piaçabuçu/AL
335,Praia de Cambôa,Ipojuca,PE,2019-11-04,Ipojuca/PE
336,Praia de Porto de Galinhas,Ipojuca,PE,2019-11-04,Ipojuca/PE
337,Praia de Muro Alto,Ipojuca,PE,2019-11-04,Ipojuca/PE
338,Praia de Arakakaí,Santa Cruz Cabrália,BA,2019-11-04,Santa Cruz Cabrália/BA
339,Praia da Barra da Jangada,Jaboatão Dos Guararapes,PE,2019-11-04,Jaboatão Dos Guararapes/PE
340,Barra do Rio Pirangi,Beberibe,CE,2019-11-04,Beberibe/CE
341,Dunas (sul),Estância,SE,2019-11-04,Estância/SE
342,Praia da Barra (Novo Prado),Prado,BA,2019-11-04,Prado/BA
343,Praia de Búzios,Nísia Floresta,RN,2019-11-05,Nísia Floresta/RN
344,Praia da Barra de Sucatinga,Beberibe,CE,2019-11-05,Beberibe/CE
345,Praia do Diogo,Beberibe,CE,2019-11-05,Beberibe/CE
346,Praia de Barra de Tabatinga,Nísia Floresta,RN,2019-11-05,Nísia Floresta/RN
347,Praia de Flexeiras,Feliz Deserto,AL,2019-11-05,Feliz Deserto/AL
348,Ilha dos Namorados,Aracaju,SE,2019-11-05,Aracaju/SE
349,Praia do Boqueirão,Japaratinga,AL,2019-11-05,Japaratinga/AL
350,Praia de Guaibim,Valença,BA,2019-11-05,Valença/BA
351,Ilha da Costinha,Brejo Grande,SE,2019-11-05,Brejo Grande/SE
352,Praia de Atalaia (Barra Sul de Canavieiras),Canavieiras,BA,2019-11-05,Canavieiras/BA
353,Quinta Praia (Praia do Encanto),Cairu,BA,2019-11-05,Cairu/BA
354,Praia do Cabeço,Brejo Grande,SE,2019-11-05,Brejo Grande/SE
355,Praia de Pratigi,Ituberá,BA,2019-11-05,Ituberá/BA
356,Praia do Mosqueiro,Aracaju,SE,2019-11-05,Aracaju/SE
357,Praia de Almofala,Itarema,CE,2019-11-05,Itarema/CE
358,Praia de Barreta,Senador Georgino Avelino,RN,2019-11-05,Senador Georgino Avelino/RN
359,Praia de Cumbuco,Caucaia,CE,2019-11-05,Caucaia/CE
360,Praia Angra de Ipioca,Maceió,AL,2019-11-05,Maceió/AL
361,Praia de Campina,Cabedelo,PB,2019-11-06,Cabedelo/PB
362,Praia do Barramar,Barra De São Miguel,AL,2019-11-06,Barra De São Miguel/AL
363,Praia de Peroba,Maragogi,AL,2019-11-06,Maragogi/AL
364,Praia de Piatã,Salvador,BA,2019-11-06,Salvador/BA
365,Praia do Contrato,Igrapiúna,BA,2019-11-06,Igrapiúna/BA
366,Praia do Contrato,Igrapiúna,BA,2019-11-06,Igrapiúna/BA
367,Praia de Bitingui,Japaratinga,AL,2019-11-06,Japaratinga/AL
368,Praia dos Lençóis Maranhenses,Santo Amaro Do Maranhão,MA,2019-11-06,Santo Amaro Do Maranhão/MA
369,Praia da Barra (Praia Zeloris),Alcobaça,BA,2019-11-06,Alcobaça/BA
370,Praia de Dona Dinha,Alcobaça,BA,2019-11-06,Alcobaça/BA
371,Costa do Atlântico,Nova Viçosa,BA,2019-11-06,Nova Viçosa/BA
372,Quarta Praia,Cairu,BA,2019-11-06,Cairu/BA
373,Ilha de Comandatuba (Barra Norte e Barra Sul),Una,BA,2019-11-06,Una/BA
374,Praia de Aruanã,Aracaju,SE,2019-11-06,Aracaju/SE
375,Praia do Centro,Prado,BA,2019-11-06,Prado/BA
376,Praia da Barra de Sirinhaém,Sirinhaém,PE,2019-11-06,Sirinhaém/PE
377,Praia de Guaiamum,Sirinhaém,PE,2019-11-06,Sirinhaém/PE
378,Foz do Rio Manguaba,Porto De Pedras,AL,2019-11-06,Porto De Pedras/AL
379,Praia do Bessa,João Pessoa,PB,2019-11-06,João Pessoa/PB
380,Guriri,São Mateus,ES,2019-11-07,São Mateus/ES
381,Praia do Saco,Estância,SE,2019-11-07,Estância/SE
382,Praia de Zumbi,Rio Do Fogo,RN,2019-11-07,Rio Do Fogo/RN
383,Praia de Flexeiras,Feliz Deserto,AL,2019-11-07,Feliz Deserto/AL
384,Praia de Jenipabu,Extremoz,RN,2019-11-07,Extremoz/RN
385,Molhes da praia da Coroa do Meio,Aracaju,SE,2019-11-07,Aracaju/SE
386,Praia de Pratigi,Ituberá,BA,2019-11-07,Ituberá/BA
387,Praia Caueira,Itaporanga D'Ajuda,SE,2019-11-07,Itaporanga D'Ajuda/SE
388,"Miai de cima, miai de baixo - Coruripe e praia do Toco - feliz deserto",Coruripe,AL,2019-11-07,Coruripe/AL
389,Praia de Massarandupió,Entre Rios,BA,2019-11-07,Entre Rios/BA
390,PORTO SAUIPE,Entre Rios,BA,2019-11-07,Entre Rios/BA
391,Rio Manguaba,Porto De Pedras,AL,2019-11-07,Porto De Pedras/AL
392,Praia Pirambu,Pirambu,SE,2019-11-07,Pirambu/SE
393,Praia de Guaibim,Valença,BA,2019-11-07,Valença/BA
394,Praia do Resende,Itacaré,BA,2019-11-07,Itacaré/BA
395,Praia Caueira,Itaporanga D'Ajuda,SE,2019-11-07,Itaporanga D'Ajuda/SE
396,Praia da Costa,Canavieiras,BA,2019-11-07,Canavieiras/BA
